118. Выставка
выставка                        exhibition, show
торговая выставка               trade show
участие                         participation
участвовать                     to participate (vi)
участник                        participant
директор                        director
организатор                     organizer
организовывать                  to organize (vt)
заявка на участие               participation form
заполнить (документ)            to fill ou(vt)
детали (подробности)            details
информация                      information
цена                            price
включая                         including
включать (о цене)               to include (vt)
платить                         to pay (vi, vt)
регистрационный взнос           registration fee
вход                            entrance
павильон                        pavilion, hall
регистрировать                  to register(vt)
бэдж                            badge
выставочный стенд               booth, stand
резервировать (~ стенд)         to reserve, to book
витрина                         display case
светильник                      spotlight
дизайн                          design
располагать (размещать)         to place (vt)
располагаться                   to be placed
дистрибьютор                    distributor
поставщик                       supplier
поставлять                      to supply (vt)
страна                          country
иностранный                     foreign (adj)
продукт                         product
ассоциация                      association
конференц-зал                  conference hall
конгресс                       congress
конкурс                        contest
посетитель                     visitor
посещать                       to visit(vt)
заказчик                       customer
