123. Поиск работы. Увольнение
работа                        job
кадры, штат                   staff
карьера                       career
перспективы                   prospect
мастерство                    skills
подбор                        selection
кадровое агентство            employment agency
резюме                        résumé
собеседование                 interview
вакансия                      vacancy, opening
зарплата                      salary, pay
оплата                        pay, compensation
должность                     position
обязанность                   duty
круг обязанностей             range of duties
занятой (о человеке)          busy (adj)
уволить                       to fire, to dismiss
увольнение                    dismissal
безработица                   unemployment
безработный  (сущ.)           unemployed
пенсия                        retirement
уйти на пенсию                to retire
