131. Занятия. Социальное положение
школьник                      schoolboy
студент                       student
философ                       philosopher
экономист                     economist
изобретатель                  inventor
безработный  (сущ.)           unemployed
пенсионер                     retiree
шпион                         spy, secret agent
заключённый                   prisoner
забастовщик                   striker
бюрократ                      bureaucrat
путешественник                traveler
гомосексуалист                homosexual
хакер                         hacker
хиппи                         hippie
бандит                        bandit
наёмный убийца                hit man, killer
наркоман                      drug addict
торговец наркотиками          drug dealer
проститутка                   prostitute
сутенёр                       pimp
колдун                        sorcerer
колдунья                      sorceress
пират                         pirate
раб                           slave
самурай                       samurai
дикарь                        savage
