135. Хоккей
хоккей                         hockey
хоккеист                       hockey player
играть в хоккей                to play hockey
лёд                            ice
шайба                          puck
клюшка                         hockey stick
коньки                         ice skates
борт                           board
бросок (хокк.)                 shot
вратарь                        goaltender
гол                            goal
забить гол                     to score a goal
период (хокк.)                 period
2-й период                     2-nd period
скамейка запасных              substitutes bench
