140. Бокс
бокс                           boxing
бой (в боксе)                  fight
поединок                       boxing match
раунд                          round
ринг                           ring
гонг                           gong
удар                           punch
нокдаун                        knock-down
нокаут                         knockout
нокаутировать                  to knock out
боксёрская перчатка            boxing glove
рефери                         referee
легкий вес                     lightweight
средний вес                    middleweight
тяжелый вес                    heavyweight
