141. Спорт. Разное
Олимпийские игры               Olympic Games
победитель                     winner
выиграть                       to win (vi)
лидер                          leader
лидировать                     to lead (vi)
первое место                   first place
второе место                   second place
третье место                   third place
медаль                         medal
трофей                         trophy
кубок                          prize cup
приз                           prize
главный приз                   main prize
рекорд                         record
ставить рекорд                 to set a record
финал  (спорт.)                final
финальный                      final(adj)
чемпион                        champion
чемпионат                      championship
стадион                        stadium
трибуна (стадиона)             stand, bleachers
фан, болельщик                 fan, supporter
противник                      opponent, rival
старт                          start
финиш                          finish line
судья                          referee
жюри                            judges
счёт                            score
ничья                           draw
сыграть вничью                  to draw (vi)
очко                            point
результат                       result
тайм, период                    period
перерыв                         half-time
допинг                          doping
штрафовать (спорт)              to penalize (vt)
дисквалифицировать              to disqualify(vt)
снаряд  (спорт.)                apparatus
копьё (спорт.)                  javelin
ядро                            shot put ball
шар (в бильярде и т.п.)         ball
цель (при стрельбе)             aim, target
мишень                          target
стрелять                        to shoot (vi)
точный (попадание)              precise (adj)
тренер                          trainer, coach
тренировать                     to train(vt)
тренироваться                   to train (vi)
тренировка                      training
спортзал                        gym
упражнение                      exercise
разминка                        warm-up
