147. Сказочные персонажи
Санта Клаус                     Santa Claus
Золушка                         Cinderella
русалка                       mermaid
Нептун                        Neptune
волшебник                     magician
волшебница                    good witch
волшебный                     magic (adj)
волшебная палочка             magic wand
сказка                        fairy tale
чудо                          miracle
гном                          dwarf
превратиться в …              to turn into …
привидение                    ghost
призрак                       phantom
чудовище                      monster
дракон                        dragon
великан                       giant
