15. Вопросы
Кто?                          Who?
Что?                          What?
Где?                          Where?
Куда?                         Where?
Откуда?                       Where … from?
Когда?                        When?
Зачем?                        Why?
Для чего?                     What for?
Как?                          How?
Который?                      Which?
Кому?                         To whom?
О ком?                        About whom?
О чём?                        About what?
С кем?                        With whom?
Сколько? (исчисл.)            How many?
Сколько? (неисчисл.)          How much?
Чей?                          Whose?
