151. Изобразительное искусство
искусство                      art
изящные искусства              fine arts
арт-галерея                    art gallery
выставка картин                art exhibition
живопись                       painting
графика                        graphic art
абстракционизм                 abstract art
импрессионизм                  impressionism
картина                        picture
рисунок                        drawing
плакат                         poster
иллюстрация                    illustration
миниатюра                      miniature
копия                          copy
репродукция                    reproduction
мозаика                        mosaic
витраж                         stained glass
фреска                         fresco
гравюра                        engraving
бюст                           bust
скульптура                     sculpture
статуя                         statue
гипс                           plaster of Paris
из гипса                       plaster (adj)
портрет                        portrait
автопортрет                    self-portrait
пейзаж (картина)               landscape
натюрморт                      still life
карикатура                     caricature
краска                         paint
акварель (краска)              watercolor
масло                          oil
карандаш                       pencil
тушь                           Indian ink
уголь                          charcoal
рисовать (карандашом)          to draw (vi, vt)
рисовать (красками)            to paint(vi, vt)
позировать                     to pose (vi)
натурщик                       artist's model
натурщица                      artist's model
художник                       artist, painter
произведение                   work of art
шедевр                         masterpiece
мастерская                     workshop
холст                          canvas
мольберт                       easel
палитра                        palette
рама (картины)                 frame
реставрация                    restoration
реставрировать                 to restore(vt)
