155. Турпоездка
туризм                         tourism
турист                         tourist
путешествие                    trip
приключение                    adventure
поездка                        trip, journey
отпуск                         vacation
быть в отпуске                 to be on vacation
отдых                          rest
поезд                          train
поездом                        by train
самолёт                        airplane
самолётом                      by airplane
на автомобиле                  by car
на корабле                     by ship
багаж                          luggage
чемодан                        suitcase, luggage
тележка для багажа             luggage cart
паспорт                        passport
виза                           visa
билет (на поезд и т.п.)        ticket
авиабилет                      air ticket
путеводитель                   guidebook
карта (географ.)               map
местность                      area
место                          place, site
экзотика                       exotica
экзотический                   exotic (adj)
удивительный                   amazing  (adj)
группа                         group
экскурсия                      excursion
экскурсовод                    guide
