158. Охота. Рыбалка
охота                          hunt
охотиться                      to hunt (vi, vt)
охотник                        hunter
стрелять                       to shoot (vi)
ружьё                          rifle
патрон                         bullet, cartridge
дробь                          shotgun pellets
капкан                         trap
ловушка                        snare
попасться в капкан             to fall into the trap
ставить капкан                 to lay a trap
браконьер                      poacher
дичь                           game
охотничья собака               hound
сафари                         safari
чучело                         mounted animal
рыбак                          fisherman
рыбалка                        fishing
ловить рыбу                    to fish (vi)
удочка                         fishing rod
леска                          fishing line
крючок                         hook
поплавок                       float
наживка                        bait
забросить удочку               to cast a line
клевать (о рыбе)               to bite (vi)
улов                           catch of fish
прорубь                        ice-hole
сеть                           net
лодка                          boat
ловить сетью                   to net
забрасывать сеть               to cast the net
вытаскивать сеть               to haul in the net
попасться в сети               to fall into the net
китобой                        whaler
китобойное судно               whaleboat
гарпун                         harpoon
