164. Пляж
пляж                           beach
песок                          sand
пустынный (пляж)               deserted (adj)
загар                          suntan
загорать                       to get a tan
загорелый                      tan (adj)
крем для загара                sunscreen
бикини                         bikini
купальник                      bathing suit
плавки                         swim briefs
бассейн                        swimming pool
плавать                        to swim (vi)
душ                            shower
переодеваться                  to change (vi)
полотенце                      towel
лодка                          boat
катер                          motorboat
водные лыжи                    water ski
водный велосипед               paddle boat
серфинг                        surfing
серфингист                     surfer
акваланг                       scuba set
ласты                          flippers
маска                          mask
ныряльщик                      diver
нырять                         to dive (vi)
под водой                      underwater
зонт                           beach umbrella
шезлонг                        beach chair
очки (от солнца)               sunglasses
плавательный матрац            air mattress
играть                         to play (vi)
купаться                       to go for a swim
мяч                            beach ball
надувать                       to inflate(vt)
надувной (~ матрас)            inflatable, airadj)
волна                          wave
буй                            buoy
тонуть                         to drown (vi)
спасать                        to save, to rescue
спасательный жилет             life vest
наблюдать                      to observe, to watch
