176. Автомобиль. Салон
салон (автомобиля)              car inside
кожаный                         leather(as adj)
велюровый                      velour(as adj)
обивка                         upholstery
прибор                         instrument
приборный щиток                dashboard
спидометр                      speedometer
стрелка                        needle
счётчик километража            odometer
датчик                         indicator
уровень (напр. масла)          level
лампочка (индикатор)           warning light
руль, рулевое колесо           steering wheel
сигнал (клаксон)               horn
кнопка                         button
переключатель                  switch
сиденье                        seat
спинка (сиденья)               seat back
подголовник                    headrest
ремень безопасности            seat belt
пристегнуть ремень             to fasten the belt
регулировка                    adjustment
воздушная подушка              airbag
кондиционер                    air-conditioner
радио                          radio
СD-проигрыватель               CD Player
включить (приёмник)            to turn on
антенна                        antenna
отделение для перчаток         glove box
пепельница                     ashtray
