178. Автомобиль. Авария. Ремонт
авария                         car accident
дорожное происшествие          road accident
врезаться (о машине)           to run into …
разбиться                      to have an accident
повреждение                    damage
целый (невредимый)             intact(adj)
авария, поломка                breakdown
сломаться                      to break down (vi)
буксировочный трос             towrope
прокол                         puncture
спустить (о колесе)            to be flat
накачивать (шину)              to pump up
давление                       pressure
проверить                      to check (vt)
ремонт                         repair
автосервис                     auto repair shop
запчасть                       spare part
деталь                         part
болт                           bolt
винт                           screw bolt
гайка                          nut
шайба                          washer
подшипник                      bearing
трубка                         tube
прокладка                      gasket, washer
провод                         cable, wire
домкрат                        jack
гаечный ключ                   wrench
молоток                        hammer
насос                          pump
отвёртка                       screwdriver
огнетушитель                   fire extinguisher
аварийный треугольник          warning triangle
глохнуть (о моторе)            to stall (vi)
остановка (мотора)             stalling
быть сломанным                 to be broken
перегреться                    to overheat (vi)
засориться                     to be clogged up
замёрзнуть                     to freeze up
лопнуть                        to burst (vi)
давление                       pressure
уровень (напр. масла)          level
слабый (о ремне и т.п.)        slack(adj)
вмятина                        dent
стук (шум)                     abnormal noise
трещина                        crack
царапина                       scratch
