18. Вводные и служебные слова. Наречия - 2
Почему?                       Why?
почему-то                     for some reason
потому, что …                 because …
и                             and
или                           or
но                            but
для (предлог)                 for
слишком                        too
только                         only
точно                          exactly
около (~ 10 кг)                about
приблизительно                 approximately
приблизительный                approximate (adj)
почти                          almost
остальное                      the rest
другой (второй)                the other(adj)
другой (иной)                  other(adj)
каждый                         each (adj)
любой                          any
много (с исчисл.)              many
много (с неисчисл.)            much
многие                         many people
все (все люди)                 all
в обмен на …                   in exchange for …
взамен                         in exchange
вручную                        by hand
вряд ли                        hardly
наверное (вероятно)            probably
нарочно                        on purpose
случайно                       by accident
очень                          very
например                       for example
между                          between
среди                          among
столько                        so much
особенно                       especially
