181. Праздник. Событие
праздник (торжество)           celebration, holiday
национальный праздник          national day
праздничный день               public holiday
праздновать                    to celebrate(vt)
событие                        event
мероприятие (событие)          event
банкет                         banquet
приём (мероприятие)            reception
пир                            feast
годовщина                      anniversary
юбилей                         jubilee
отметить (юбилей и т.п.)       to celebrate(vt)
Новый год                      New Year
С Новым Годом!                 Happy New Year!
Дед Мороз, Санта Клаус         Santa Claus
Новогодняя ёлка                Christmas tree
Рождество                      Christmas
Весёлого Рождества!            Merry Christmas!
салют (фейерверк)              fireworks
свадьба                        wedding
жених                          groom
невеста                        bride
приглашать                     to invite(vt)
приглашение (документ)         invitation card
гость                          guest
идти в гости                   to visit with …
встречать гостей               to greet the guests
подарок                        gift, present
дарить (подарок)               to give(vt)
получать подарки               to receive gifts
букет                          bouquet
поздравление                   greetings
поздравлять                    to congratulate(vt)
поздравительная открытка       greeting card
отправить открытку             to send a postcard
получить открытку              to get a postcard
тост                           toast
угощать                        to offer(vt)
шампанское                     champagne
веселиться                     to have fun
веселье                        fun, merriment
радость                        joy
танец                          dance
танцевать                      to dance (vi, vt)
вальс                          waltz
танго                          tango
