182. Похороны
кладбище                       cemetery
могила                         grave, tomb
надгробие                      gravestone
ограда                         fence
часовня                        chapel
смерть                         death
умереть                        to die (vi)
покойник                       the deceased
траур                          mourning
хоронить                       to bury (vt)
похоронное бюро                funeral home
похороны                       funeral
венок                          wreath
гроб                           casket
катафалк                       hearse
саван                          shroud
траурная процессия             funeral procession
погребальная урна              cremation urn
крематорий                     crematory
некролог                       obituary
плакать                        to cry (vi)
рыдать                         to sob (vi)
