184. Война. Военные действия - 1
война                           war
воевать (вести войну)           to be at war
гражданская война               civil war
вероломно                       treacherously
объявление войны                declaration of war
объявить (войну)                to declare(vt)
агрессия                        aggression
нападать                        to attack(vt)
захватывать                     to invade (vt)
захватчик                       invader
завоеватель                     conqueror
оборона, защита                 defense
оборонять, защищать             to defend (vt)
обороняться                     to defend oneself
враг                            enemy, hostile
противник                       adversary
вражеский                       enemy  (as adj)
стратегия                       strategy
тактика                         tactics
приказ                          order
команда (приказ)                command
приказывать                     to order(vt)
задание (воен.)                 mission
секретный                       secret (adj)
сражение                        battle
бой                             combat
атака                           attack
штурм                           storming (assault)
штурмовать                      to storm (vt)
осада                           siege
наступление                     offensive
наступать                       to go on the offensive
отступление                     retreat
отступать                       to retreat (vi)
окружение                       encirclement
окружать                        to encircle (vt)
бомбёжка (налёт авиации)        bombing
сбросить бомбу                  to drop a bomb
бомбить                         to bomb  (vt)
взрыв                           explosion
выстрел                         shot
выстрелить                      to fire a shot
стрельба                        shooting
целиться (в …)                  to take aim (at …)
навести (орудие)                to point (vt)
попасть (в цель)                to hit(vt)
потопить (корабль и т.п.)       to sink (vt)
пробоина                        hole
идти ко дну                     to founder, to sink (vi)
фронт                           front
тыл                             rear, homefront
эвакуация                       evacuation
эвакуировать                    to evacuate  (vt)
окоп, траншея                   trench
колючая проволока               barbwire
заграждение                     barrier
вышка (строение)                watchtower
госпиталь                       hospital
ранить                          to wound   (vt)
рана                            wound
раненый  (сущ.)                 wounded
получить ранение                to be injured
тяжёлый (о ранении)             serious  (adj)
