185. Война. Военные действия - 2
плен                            captivity
взять в плен                    to take sb captive
быть в плену                    to be in captivity
попасть в плен                  to be taken prisoner
концлагерь                      concentration camp
пленный  (сущ.)                 prisoner of war
бежать (из плена)               to escape (vi)
расстрелять (казнить)           to execute  (vt)
расстрел (казнь)                execution
обмундирование                 equipment
погон                          shoulder board
противогаз                     gas mask
рация                          radio transmitter
шифр                           cipher, code
конспирация                    conspiracy
пароль                         password
мина                           land mine
заминировать                   to mine (vt)
минное поле                    minefield
воздушная тревога              air-raid warning
тревога (сигнал)               alarm
сигнал                         signal
сигнальная ракета              signal flare
штаб                           headquarters
разведка                       reconnaissance
обстановка                     situation
рапорт                         report
засада                         ambush
подкрепление                   reinforcement
мишень                         target
полигон                        proving ground
манёвры                        military exercise
паника                         panic
разруха                        devastation
разрушения                     destruction, ruins
разрушать                      to destroy (vt)
выжить                         to survive (vi, vt)
обезоружить                    to disarm (vt)
обращаться (с оружием)         to handle (vt)
Смирно!                        Attention!
Вольно!                        At ease!
подвиг                         feat
клятва                         oath
клясться                       to swear (vi, vt)
награда (медаль и т.п.)        decoration
награждать                     to award (vt)
медаль                         medal
орден                          order
победа                         victory
поражение                      defeat
перемирие                      armistice
знамя                         banner
слава (почёт)                 glory
парад                         parade
маршировать                   to march (vi)
