187. Первобытные люди
первобытный                    primitive(adj)
доисторический                 prehistoric(adj)
древний                        ancient (adj)
Каменный Век                   Stone Age
Бронзовый Век                  Bronze Age
ледниковый период              Ice Age
племя                          tribe
людоед                         cannibal
охотник                        hunter
охотиться                      to hunt (vi, vt)
мамонт                         mammoth
пещера                         cave
огонь                          fire
костёр                         campfire
наскальный рисунок             rock painting
орудие труда                   tool
копьё                          spear
каменный топор                 stone ax
воевать (вести войну)          to be at war
приручать (животных)           to domesticate (vt)
идол                           idol
поклоняться                    to worship
суеверие                       superstition
обряд, ритуал                  rite
эволюция                       evolution
развитие                       development
исчезновение                   disappearance
приспосабливаться              to adapt oneself
археология                     archeology
археолог                       archeologist
археологический                archeological(adj)
раскопки (место работ)         excavation site
раскопки (работы)              excavations
находка                        find
фрагмент                       fragment
