191. Нарушения закона. Преступники - 1
бандит                          bandit
преступление                    crime
преступник                      criminal
вор                             thief
воровать, красть                to steal(vt)
воровство                       stealing
кража                           theft
похитить (кого-л.)              to kidnap (vt)
похищение (людей)               kidnapping
похититель (людей)              kidnapper
выкуп (плата)                   ransom
требовать выкуп                 to demand ransom
грабить                         to rob(vt)
грабёж, ограбление              robbery
грабитель                       robber
вымогать                        to extort(vt)
вымогатель                      extortionist
вымогательство                  extortion
убить                           to murder, to kill
убийство                        murder
убийца                          murderer
выстрел                         gunshot
выстрелить                      to fire a shot
застрелить                      to shoot down
стрелять                        to shoot (vi)
стрельба                        shooting
происшествие                    incident
драка                           fight, brawl
На помощь! Спасите!             Help!
жертва                          victim
повредить (испортить)           to damage  (vt)
ущерб                           damage
труп                            dead body
тяжкий (о преступлении)         grave (adj)
нападать                        to attack(vt)
бить (ударять)                  to beat(vt)
избить                          to beat … up
отнять (деньги и т.п.)          to take(vt)
зарезать                        to stab to death
изувечить                       to maim  (vt)
ранить                          to wound  (vt)
шантаж                          blackmail
шантажировать                   to blackmail (vt)
шантажист                       blackmailer
рэкет                           protection racket
рэкетир                         racketeer
гангстер                        gangster
мафия                           mafia, Mob
карманный воришка               pickpocket
взломщик                        burglar
контрабанда (действия)          smuggling
контрабандист                   smuggler
подделка (понятие)              forgery
подделывать                     to forge (vt)
фальшивый                       fake, forged (adj)
