192. Нарушения закона. Преступники - 2
изнасилование                   rape
изнасиловать                    to rape (vt)
насильник                       rapist
маньяк                          maniac
проститутка                     prostitute
проституция                     prostitution
сутенёр                         pimp
наркоман                        drug addict
торговец наркотиками            drug dealer
взорвать                        to blow up
взрыв                           explosion
поджечь                         to set fire
поджигатель                     arsonist
терроризм                       terrorism
террорист                       terrorist
заложник                        hostage
обмануть                        to swindle (vt)
обман                           swindle
мошенник                        swindler
подкупить                       to bribe (vt)
подкуп                          bribery
взятка                          bribe
яд                              poison
отравить                        to poison (vt)
отравиться (убить себя)         to poison oneself
самоубийство                    suicide
самоубийца                      suicide
угрожать                        to threaten (vt)
угроза                          threat
покушаться                      to make an attempt
покушение (на жизнь)            attempt
угнать (автомобиль)             to steal(vt)
угнать (самолёт)                to hijack(vt)
месть                           revenge
мстить                          to avenge  (vt)
пытать                          to torture(vt)
пытка                           torture
мучить                          to abuse (vt)
пират                           pirate
хулиган                         hooligan
вооружённый                     armed  (adj)
насилие                         violence
нелегальный                     illegaladj)
шпионаж                         spying
шпионить                        to spy (vi)
