193. Полиция. Закон - 1
правосудие                      justice
суд (место)                     court
судья                           judge
присяжные                       jurors
суд присяжных                   jury trial
судить (о судьях)               to judge (vt)
адвокат                         lawyer, attorney
подсудимый                      accused
скамья подсудимых               dock
обвинение                       charge
обвиняемый                      accused
приговор                        sentence
приговорить                     to sentence (vt)
наказать                        to punish (vt)
наказание                       punishment
штраф                           fine
пожизненное заключение          life imprisonment
смертная казнь                  death penalty
электрический стул              electric chair
виселица                        gallows
казнить                         to execute (vt)
казнь                           execution
тюрьма                          prison, jail
камера                          cell
конвой                          escort
надзиратель                     prison guard
заключённый                     prisoner
наручники                       handcuffs
надеть наручники                to handcuff (vt)
побег (из тюрьмы)               prison break
убежать (из тюрьмы)             to break out (vi)
исчезнуть                       to disappear (vi)
освободить (из тюрьмы)          to release(vt)
амнистия                        amnesty
полиция                         police
полицейский                     policeman
полицейский участок             police station
резиновая дубинка               billy club
рупор                           bullhorn
патрульная машина               patrol car
сирена                          siren
включить сирену                 to turn on the siren
вой сирены                      siren call
место преступления              scene of the crime
свидетель                       witness
свобода                         freedom
сообщник                        accomplice
след                            trace
