195. Космос
космос                        cosmos
космический                   space (adj)
космическое пространство      outer space
мир, вселенная                world
вселенная                     universe
галактика                     galaxy
звезда                        star
созвездие                     constellation
планета                       planet
спутник                       satellite
метеорит                      meteorite
комета                        comet
астероид                      asteroid
орбита                        orbit
вращаться                     to rotate (vi)
атмосфера                     atmosphere
Солнце                        the Sun
солнечная система             solar system
солнечное затмение            solar eclipse
Земля                         the Earth
Луна                          the Moon
Марс                          Mars
Венера                        Venus
Юпитер                        Jupiter
Сатурн                        Saturn
Меркурий                      Mercury
Уран                          Uranus
Нептун                        Neptune
Плутон                        Pluto
Млечный Путь                  Milky Way
Большая Медведица             Great Bear
Полярная Звезда               North Star
марсианин                     Martian
инопланетянин                 extraterrestrial
пришелец                      alien
летающая тарелка              flying saucer
космический корабль           spaceship
орбитальная станция           space station
старт (ракеты)                blast-off
двигатель                     engine
сопло                         nozzle
топливо                       fuel
кабина                        cockpit
антенна                       antenna
иллюминатор                   porthole
солнечная батарея             solar battery
скафандр                      spacesuit
невесомость                   weightlessness
кислород                      oxygen
стыковка                      docking
производить стыковку          to dock (vi, vt)
обсерватория                  observatory
телескоп                      telescope
наблюдать                     to observe (vt)
исследовать                   to explore(vt)
