198. Море. Океан
море                           sea
океан                          ocean
залив                          gulf
пролив                         straits
земля, суша                    dry land
материк                        continent
остров                         island
полуостров                     peninsula
архипелаг                      archipelago
бухта                          bay
гавань                         harbor
лагуна                         lagoon
мыс                            cape
атолл                          atoll
риф                            reef
коралл                         coral
коралловый риф                 coral reef
глубокий                       deep  (adj)
глубина                        depth
бездна                         abyss
впадина                        trench
течение                        current
омывать                        to surround
побережье                      shore
берег (моря)                   coast
прилив                         high tide
отлив                          low tide
отмель                         sandbank
дно                            bottom
волна                          wave
гребень волны                  crest
пена                           froth
буря, шторм                    storm
ураган                         hurricane
цунами                         tsunami
штиль                          calm
спокойный                      quiet, calm(adj)
полюс                          pole
полярный                       polar(adj)
широта                         latitude
долгота                        longitude
параллель                      parallel
экватор                        equator
небо                           sky
горизонт                       horizon
воздух                         air
маяк                           lighthouse
нырять                         to dive (vi)
затонуть (о корабле)           to sink (vi)
сокровища                      treasures
