204. Лес
лес                            forest
лесной                         forest (adj)
чаща                           thick forest
роща                           grove
поляна                         clearing
заросли                        thicket
кустарник                      scrubland
тропинка                       footpath
овраг                          gully
дерево                         tree
лист                           leaf
листва                         leaves
листопад                       falling leaves
опадать (о листьях)            to fall (vi)
верхушка (дерева)              top
ветка                          branch
сук                            bough
почка                          bud
иголка                         needle
шишка (сосновая)               pine cone
дупло                          hollow
гнездо                         nest
нора                           burrow, animal hole
ствол (дерева)                 trunk
корень                         root
кора                           bark
мох                            moss
корчевать                      to uproot (vt)
рубить (дерево)                to chop down
вырубать лес                   to deforest (vt)
пень                           tree stump
костёр                         campfire
пожар                          forest fire
тушить                         to extinguish (vt)
лесник                         forest ranger
охрана (растений)              protection
охранять (природу)             to protect(vt)
браконьер                      poacher
капкан                         trap
собирать (грибы, ягоды)        to gather, to pic(vt)
заблудиться                    to lose one's way
