209. Зима
зима                           winter
зимний                         winter (adj)
зимой                          in winter
снег                           snow
идёт снег                      it's snowing
снегопад                       snowfall
сугроб                         snowdrift
снежинка                       snowflake
снежок                         snowball
снеговик                       snowman
сосулька                       icicle
декабрь                        December
январь                         January
февраль                        February
мороз                           heavy frost
морозный                        frosty(adj)
ниже нуля                       below zero
заморозки                       first frost
иней                            hoarfrost
холод                           cold
холодно                         it's cold
шуба                            fur coat
варежки                         mittens
заболеть                        to get sick
простуда                        cold
простудиться                    to catch a cold
лёд                             ice
гололёд                         black ice
замёрзнуть (о реке)             to ice over
льдина                          ice floe
лыжи                            skis
лыжник                          skier
кататься на лыжах               to ski (vi)
кататься на коньках             to skate (vi)
