22. Время. Разное
время                          time
миг                            instant
мгновенный                     instant (adj)
отрезок (времени)              period
жизнь                          life
вечность                       eternity
эпоха                          epoch
эра                            era
цикл                           cycle
период                         period
срок (долгий ~)                term
будущее  (сущ.)                the future
будущий                        future (as adj)
в следующий раз                next time
прошлое  (сущ.)                the past
прошлый                        past (adj)
в прошлый раз                  last time
позже                          later
после                          after
сейчас (в наше время)          nowadays
сейчас (в эту минуту)          now
немедленно                     immediately
скоро                          soon
заранее                        in advance
давно                          a long time ago
недавно                        recently
судьба                         destiny
память (воспоминания)          memories
архив                          archives
во время …                     during …
долго                          long, a long time(adv)
недолго                        not long
рано (~ проснуться)            early
поздно (~ встать)              late
навсегда                       forever
начинать                         to start(vt)
перенести (о сроке)              to postpone  (vt)
одновременно                     at the same time
постоянно (все время)            permanently
постоянный (шум)                 constant (adj)
временный                        temporary  (adj)
иногда                           sometimes
редко                            rarely
часто                            often
