243. Политика. Правительство - 1
политика                      politics
политический                  politicaladj)
политик                       politician
государство                   state
гражданин                     citizen
гражданство                   citizenship
национальный герб             national emblem
государственный гимн          national anthem
правительство                 government
руководитель страны           head of state
парламент                     parliament
партия                        party
капитализм                    capitalism
капиталистический             capitalistadj)
социализм                     socialism
социалистический              socialist(adj)
коммунизм                      communism
коммунистический               communist   (adj)
коммунист                      communist
демократия                     democracy
демократ                       democrat
демократический                democratic  (adj)
демократическая партия         Democratic party
либерал                        liberal
либеральный                    liberal(adj)
консерватор                    conservative
консервативный                 conservative  (adj)
республика                     republic
республиканец                  republican
республиканская партия         Republican party
выборы                         poll, elections
выбирать, избирать             to elect(vt)
избиратель                     elector, voter
избирательная кампания         election campaign
голосование                    voting
голосовать                     to vote (vi)
право голоса                   right to vote
кандидат                       candidate
баллотироваться                to be a candidate
кампания (напр. рекламная)     campaign
оппозиционный                  opposition (adj)
оппозиция                      opposition
визит                          visit
официальный визит              official visit
международный                  international(adj)
переговоры                     negotiations
вести переговоры               to negotiate (vi)
