244. Политика. Правительство - 2
общество                       society
конституция                    constitution
власть                         power
коррупция                      corruption
закон                          law
законный                       legal (adj)
справедливость                 justice
справедливый                   just, fai(adj)
комитет                        committee
законопроект                   bill
бюджет                         budget
политика (курс)                policy
реформа                        reform
радикальный                    radical(adj)
сила (мощь)                    power
могущественный                 powerful (adj)
сторонник                      supporter
влияние                        influence
режим                          regime
конфликт                       conflict
заговор                        conspiracy
провокация                     provocation
свергнуть                      to overthrow (vt)
свержение                      overthrow
революция                      revolution
переворот                      coup d'état
военный переворот              military coup
кризис                         crisis
экономический спад             economic recession
демонстрант                    demonstrator
демонстрация                   demonstration
военное положение              martial law
военная база                   military base
стабильность                   stability
стабильный                     stable (adj)
эксплуатация                   exploitation
эксплуатировать                to exploit(vt)
расизм                         racism
расист                         racist
фашизм                         fascism
фашист                         fascist
