245. Страны. Разное
иностранец                     foreigner
иностранный                    foreign (adj)
за границей                    abroad
эмигрант                       emigrant
эмиграция                      emigration
эмигрировать                   to emigrate (vi)
Запад                          the West
Восток                         the East
Дальний Восток                 the Far East
цивилизация                    civilization
человечество                   humanity
мир (вся планета)              world
мир (спокойствие)              peace
мировой (всемирный)            worldwide (adj)
родина                         homeland
народ                          people
население                      population
люди                           people
нация                          nation
поколение                      generation
территория                     territory
регион                         region
штат (часть страны)            state
традиция                       tradition
обычай                         custom
экология                       ecology
индеец                         Indian
цыган                          Gipsy
цыганка                        Gipsy
цыганский                      Gipsy (adj)
империя                        empire
колония                        colony
рабство                        slavery
нашествие                      invasion
голод (бедствие)               famine
