247. Религии. Люди
священник                     priest
Папа Римский                  the Pope
монах                         monk, friar
монахиня                       nun
пастор                         pastor
аббат                          abbot
викарий                        vicar
епископ                        bishop
кардинал                       cardinal
проповедник                    preacher
проповедь                      preaching
прихожане                      parishioners
верующий  (сущ.)               believer
атеист                         atheist
