248. Вера. Христианство. Ислам
Адам                           Adam
Ева                            Eve
Бог                            God
Господь                        the Lord
Всемогущий                     the Almighty
грех                           sin
грешить                        to sin (vi)
грешник                        sinner
грешница                       sinner
ад                             hell
рай                            paradise
Иисус                          Jesus
Иисус Христос                  Jesus Christ
Святой Дух                     the Holy Spirit
Спаситель                      the Savior
Богородица                     the Virgin Mary
Дьявол                         the Devil
дьявольский                    devil's(adj)
Сатана                         Satan
сатанинский                    satanic(adj)
ангел                          angel
ангел-хранитель                guardian angel
ангельский                     angelic(adj)
апостол                        apostle
архангел                       archangel
антихрист                      the Antichrist
Церковь (организация)         the Church
библия                        Bible
библейский                    biblical(adj)
Ветхий Завет                  Old Testament
Новый Завет                   New Testament
Евангелие                     Gospel
Священное Писание             Holy Scripture
Небо, Царство Небесное        heaven
заповедь                      Commandment
пророк                        prophet
пророчество                   prophecy
Аллах                         Allah
Мухаммед                      Mohammed
Коран                         the Koran
мечеть                        mosque
мулла                         mullah
молитва                       prayer
молиться                      to pray(vi, vt)
паломничество                 pilgrimage
паломник                      pilgrim
Мекка                         Mecca
церковь                       church
храм                          temple
собор                         cathedral
готический                    Gothic (adj)
синагога                      synagogue
мечеть                        mosque
часовня                       chapel
аббатство                     abbey
монастырь (женский)           convent
монастырь (мужской)           monastery
колокол                       bell
колокольня                    bell tower
звонить (о колоколах)         to ring (vi)
крест                         cross
купол                         cupola
икона                         icon
душа                          soul
судьба (доля, участь)         fate
зло                           evil
добро                         good
вампир                        vampire
ведьма                        witch
демон                           demon
чёрт                            devil
дух                             spirit
искупление                      redemption
искупить                        to redeem  (vt)
служба  (рел.)                  church service, mass
служить  (рел.)                 to say mass
исповедь                        confession
исповедоваться                  to confess (vi)
святой (сущ.)                   saint
священный                       sacred  (adj)
святая вода                     holy water
ритуал                          ritual
ритуальный                      ritual(adj)
жертвоприношение                sacrifice
суеверие                        superstition
суеверный                       superstitious (adj)
загробная жизнь                 afterlife
вечная жизнь                    eternal life
