30. Анатомия
организм                     organism
сердце                       heart
кровь                        blood
артерия                      artery
вена                         vein
мозг                         brain
нерв                         nerve
нервы                        nerves
позвонок                     vertebra
позвоночник                  spine
желудок                      stomach
кишечник                     intestines
кишка                        intestine
печень                       liver
почка                        kidney
кость                        bone
скелет                       skeleton
ребро                        rib
череп                        skull
мышца                        muscle
бицепс                       biceps
трицепс                       triceps
сухожилие                     tendon
сустав                        joint
лёгкие                        lungs
половые органы                genitals
кожа                          skin
