37. Обувь
обувь                         footwear
ботинки                       ankle boots
туфли                         shoes
сапоги                        boots
тапочки                       slippers
кроссовки                     tennis shoes
кеды                          sneakers
сандалии                       sandals
сапожник                       cobbler
каблук                         heel
пара (обуви и т.п.)            pair
шнурок                         shoestring
шнуровать (ботинки)            to lace(vt)
рожок (для обуви)              shoehorn
крем для обуви                 shoe polish
