40. Одежда. Разное
мода                           fashion
модный                         in vogue (adj)
модельер                       fashion designer
воротник                       collar
карман                         pocket
карманный                      pocket (as adj)
рукав                          sleeve
вешалка (петля)                hanging loop
ширинка                        fly
молния (застежка)              zipper
застёжка                       fastener
пуговица                       button
петля (для пуговицы)           buttonhole
оторваться (о пуговице)        to come off
шить                           to sew (vi, vt)
вышивать                       to embroider (vi, vt)
вышивка                        embroidery
игла (для шитья)               sewing needle
нитка                          thread
шов (швейный)                  seam
испачкаться                    to get dirty (vi)
пятно                          stain
помяться (об одежде)           to crease, crumple (vi)
порвать (испортить)            to tear(vt)
моль                           clothes moth
