41. Предметы личной гигиены. Косметика
зубная паста                   toothpaste
зубная щётка                   toothbrush
чистить зубы                  to brush one's teeth
бритва                        razor
крем для бритья               shaving cream
бриться                       to shave (vi)
мыло                          soap
шампунь                       shampoo
ножницы                       scissors
пилочка для ногтей            nail file
щипчики для ногтей            nail clippers
пинцет                        tweezers
косметика                     cosmetics
маска (косметич.)             face mask
маникюр                       manicure
делать маникюр                to have a manicure
педикюр                       pedicure
косметичка                    make-up bag
пудра                         face powder
пудреница                     powder compact
румяна                        blusher
духи                          perfume
туалетная вода                toilet water
лосьон                        lotion
одеколон                      cologne
тени для век                  eyeshadow
карандаш для глаз             eyeliner
тушь для ресниц               mascara
губная помада                 lipstick
лак для ногтей                nail polish
лак для волос                 hair spray
дезодорант                    deodorant
крем                          cream
крем для лица                 face cream
крем для рук                  hand cream
крем против морщин            anti-wrinkle cream
дневной крем                  day cream
ночной крем                   night cream
тампон                        tampon
туалетная бумага              toilet paper
фен                           hair dryer
