42. Украшения. Драгоценности
драгоценности                 jewelry
драгоценный (камень)          precious (adj)
проба (клеймо)                 hallmark
кольцо                         ring
обручальное кольцо             wedding ring
браслет (украшение)            bracelet
серьги                         earrings
ожерелье                       necklace
корона                         crown
бусы                           bead necklace
бриллиант                      diamond
изумруд                        emerald
рубин                          ruby
сапфир                         sapphire
жемчуг                         pearl
янтарь                         amber
