43. Часы
часы (наручные)                watch
циферблат                      dial
стрелка (часов)                hand
браслет (на часах)             bracelet
ремешок                        watch strap
батарейка                      battery
сесть (о батарейке)            to be dead
поменять батарейку             to change a battery
спешить (о часах)              to run fast
отставать                      to run slow
часы настенные                 wall clock
часы песочные                  hourglass
часы солнечные                 sundial
будильник                      alarm clock
часовщик                       watchmaker
ремонтировать                  to repairvt)
