51. Приём пищи
еда                             food
есть, кушать                    to eat(vi, vt)
завтрак                         breakfast
завтракать                      to have breakfast
обед                            lunch
обедать                         to have lunch
ужин                            dinner
ужинать                         to have dinner
аппетит                         appetite
Приятного аппетита!             Enjoy your meal!
открывать (банку и т.п.)        to open (vt)
пролить                         to spillvt)
пролиться                      to spill out (vi)
кипеть                         to boil (vi)
кипятить                       to boil(vt)
кипячёный                      boiled (adj)
охладить                       to cool(vt)
охлаждаться                    to cool down (vi)
вкус                           taste, flavor
привкус                        aftertaste
худеть (быть на диете)         to be on a diet
диета                          diet
витамин                        vitamin
калория                        calorie
вегетарианец                   vegetarian
вегетарианский                 vegetarian (adj)
жиры                           fats
белки                          proteins
углеводы                       carbohydrates
ломтик                         slice
кусок                          piece
крошка (хлеба и т.п.)          crumb
