59. Ребёнок
ребёнок                         child
дети                            children
близнецы                        twins
люлька, колыбель                cradle
погремушка                      rattle
подгузник                       diaper
соска                           pacifier
коляска (детская)               baby carriage
детский сад                     kindergarten
няня                            babysitter
детство                         childhood
кукла                           doll
игрушка                         toy
конструктор (игра)              construction set
воспитанный                     well-bred (adj)
невоспитанный                   ill-bred(adj)
избалованный                    spoiled (adj)
шалить                          to be naughty
шаловливый                      mischievous  (adj)
шалость (поведение)             mischievousness
шалун                           mischievous child
послушный                       obedient (adj)
непослушный                     disobedient (adj)
умный (послушный)               docile (adj)
умный (одаренный)               clever (adj)
вундеркинд                      child prodigy
