60. Супруги. Супружеская жизнь
целовать                       to kiss(vt)
целоваться                     to kiss (vi)
семья                          family
семейный                       family (adj)
пара, чета                     couple
брак (семейная жизнь)          marriage
домашний очаг                  hearth
династия                       dynasty
свидание                       date
поцелуй                        kiss
любовь                         love
любить (кого-л.)               to love (vt)
любимый (человек)              beloved  (adj)
нежность                       tenderness
нежный                         tender (adj)
верность                       faithfulness
верный                         faithful(adj)
молодожёны                     newlyweds
медовый месяц                  honeymoon
выйти замуж                    to get married
жениться                       to get married
свадьба                        wedding
золотая свадьба                golden wedding
годовщина                      anniversary
любовник                       lover
любовница                      mistress
измена                         adultery
изменить                       to commit adultery
ревнивый                       jealous (adj)
ревновать                      to be jealous
развод                         divorce
развестись                     to divorce (vi)
ссориться                      to quarrel (vi)
мириться                       to be reconciled
вместе                         together
секс                           sex
счастье                        happiness
счастливый                     happy  (adj)
несчастье                      misfortune
несчастный                     unhappy   (adj)
