63. Сон. Состояние сна
спать                            to sleep (vi)
сон (состояние)                  sleep, sleeping
сон (сновидения)                 dream
видеть сны                       to dream (vi)
сонный                           sleepy (adj)
кровать                          bed
матрас                           mattress
одеяло                           blanket
подушка                          pillow
простыня                         sheet
бессонница                       insomnia
бессонный                        sleepless (adj)
снотворное                     sleeping pill
принять снотворное             to take а sleeping pill
хотеть спать                   to feel sleepy
зевать                         to yawn (vi)
идти спать                     to go to bed
стелить постель                to make up the bed
заснуть                        to fall asleep
кошмар                         nightmare
храп                           snoring
храпеть                        to snore (vi)
будильник                      alarm clock
разбудить                      to wake  (vt)
просыпаться                    to wake up
подниматься (утром)            to get up
умываться                      to wash up (vi)
