65. Общение. Диалог. Разговор - 1
общение                        communication
общаться                       to communicate
разговор                       conversation
диалог                         dialog
дискуссия                      discussion
спор (дебаты)                  debate
спорить                        to debate (vi)
собеседник                     interlocutor
тема                           topic
точка зрения                   point of view
мнение                         opinion
речь (выступление)             speech
обсуждение                     discussion
обсуждать                      to discuss (vt)
беседа                         talk
беседовать                     to talk (vi)
встреча                        meeting
встречаться                    to meet (vi, vt)
пословица                      proverb
поговорка                      saying
загадка                        riddle
загадывать загадку             to ask a riddle
пароль                         password
секрет                         secret
клятва                         oath
клясться                       to swear (vi, vt)
обещание                       promise
обещать                        to promise (vt)
совет                          advice
советовать                     to advise (vt)
следовать совету               to follow one's advice
новость                        news
сенсация                       sensation
сведения                       information
вывод (заключение)             conclusion
голос                          voice
комплимент                     compliment
любезный                       kind (adj)
слово                          word
фраза                          phrase
ответ (на вопрос)              answer
правда                         truth
ложь                           lie
мысль                          thought
мысль (идея)                   idea
фантазия (выдумка)             fantasy
