67. Общение. Диалог. Разговор - 3
уговорить                        to talk into
успокаивать                      to calm down   (vt)
молчание                         silence
молчать                          to keep silent
шепнуть                          to whisper  (vi, vt)
шёпот                            whisper
откровенно                       frankly
по моему мнению …                in my opinion …
подробность                      detail
подробный                        detailed (adj)
подробно                         in detail
подсказка (ключ к отгадке)       hint, clue
подсказать (отгадку)             to give a hint
взгляд (выражение лица)          look
взглянуть                        to have a look
неподвижный (взгляд)             fixed (adj)
моргать                          to blink (vi)
мигнуть                          to wink (vi)
кивнуть (в знак согласия)        to nod (vi)
вздох                            sigh
вздохнуть                        to sigh (vi)
вздрагивать                      to shudder (vi)
жест                             gesture
прикоснуться                     to touch  (vt)
хватать (за руку и т.п.)         to seize (vt)
хлопать (по плечу и т.п.)        to tap (vt)
Осторожно!                       Look out!
Неужели?                         Really?
Удачи!                           Good luck!
Ясно! (понятно)                  I see!
Жаль!                            It's a pity!
