68. Согласие. Несогласие. Одобрение
согласие                         consent
соглашаться                      to agree (vi)
одобрение                        approval
одобрить                         to approve (vt)
отказ                            refusal
отказываться                     to refuse(vi, vt)
Отлично!                         Great!
Хорошо! (согласен)               All right!
Ладно! (согласен)                Okay!
запрещённый                      forbidden (adj)
нельзя (запрещено)               it's forbidden
неправильный (ошибочный)         incorrect (adj)
отклонить (просьбу)              to reject(vt)
поддержать (предложение)         to support (vt)
принять (согласиться)            to accept (vt)
подтвердить                      to confirm (vt)
подтверждение                    confirmation
разрешение (согласие)            permission
разрешить                        to permit (vt)
решение                          decision
промолчать                       to say nothing
условие                          condition
отговорка                        excuse
похвала                          praise
похвалить                        to praise(vt)
