76. Лекарства. Принадлежности
лекарство                      medicine, drug
средство (мед.)                remedy
прописать (лекарство)          to prescribe (vt)
рецепт                         prescription
таблетка                       tablet, pill
мазь                           ointment
ампула                         ampule
микстура                       mixture
сироп                          syrup
пилюля                         pill
порошок                        powder
бинт                           bandage
вата                           cotton wool
йод                            iodine
лейкопластырь                  Band-Aid
пипетка                        eyedropper
градусник                      thermometer
шприц                          syringe
инвалидная коляска             wheelchair
костыли                        crutches
обезболивающее                 painkiller
слабительное                   laxative
спирт                          spirit, ethanol
лекарственная трава            medicinal herbs
травяной (чай и т.п.)          herbal(adj)
