77. Курение. Табачные изделия
табак                          tobacco
сигарета                       cigarette
сигара                         cigar
трубка                         pipe
пачка (сигарет)                pack
спички                         matches
спичечный коробок              matchbox
зажигалка                      lighter
пепельница                     ashtray
портсигар                      cigarette case
мундштук                       cigarette holder
фильтр                         filter
курить                         to smoke (vi, vt)
прикурить                      to light a cigarette
курение                        smoking
курильщик                      smoker
окурок                         stub, butt
дым                            smoke
пепел                          ash
