78. Город. Жизнь в городе
город                          city, town
столица                        capital
деревня                        village
план города                    city map
центр города                   downtown
пригород                       suburb
пригородный                    suburban (adj)
окраина (города)               outskirts
окрестности                    environs
квартал                        block
жилой квартал                  residential block
уличное движение               traffic
светофор                       traffic lights
городской транспорт            public transportation
перекрёсток                    intersection
пешеходный переход             crosswalk
подземный переход              pedestrian underpass
переходить (улицу)             to cross(vt)
пешеход                        pedestrian
тротуар                        sidewalk
мост                           bridge
набережная                     bank (riverbank)
аллея                          allée
парк                           park
бульвар                        boulevard
площадь                        square
проспект                       avenue
улица                          street
переулок                       lane
тупик                          dead end
дом                            house
здание                         building
небоскрёб                      skyscraper
фасад                          facade
крыша                          roof
окно                           window
арка                           arch
колонна                        column
угол (дома)                    corner
витрина                        store window
вывеска                        store sign
афиша                          poster
рекламный плакат               advertising poster
рекламный щит                  billboard
мусор (отбросы)                garbage, trash
урна (для мусора)              garbage can
сорить                         to litter (vi)
свалка                         garbage dump
телефонная будка               phone booth
фонарный столб                 street light
скамейка                       bench
полицейский                    policeman
полиция                        police
нищий (бродяга)                beggar
бездомный  (сущ.)              homeless
