82. Достопримечательности
памятник                        monument
крепость                        fortress
дворец                          palace
зáмок                           castle
башня                           tower
мавзолей                        mausoleum
архитектура                     architecture
средневековый                   medieval (adj)
старинный                       ancient
национальный                    national(adj)
известный                       well-known (adj)
турист                          tourist
гид (экскурсовод)               guide
экскурсия                       excursion
показывать                      to show (vt)
рассказывать                    to tellvt)
найти                           to find(vt)
потеряться                      to get lost
схема (метро и т.п.)            map
план (города и т.п.)            map
сувенир                         souvenir, gift
магазин сувениров               gift shop
фотографировать                 to take pictures
