83. Покупки
покупать                        to buy(vt)
покупка (предмет)               purchase
делать покупки                  to go shopping
шоппинг                         shopping
работать (о магазине)           to be open
быть закрытым                   to be closed
обувь                           footwear
одежда                          clothes, clothing
косметика                       cosmetics
продукты                        food products
подарок                         gift, present
продавец                        salesman
продавщица                      saleswoman
касса (в магазине)              check out, cash desk
зеркало                         mirror
прилавок                        counter
примерочная                     fitting room
примерить                       to try on
подходить (быть впору)          to fitvt)
нравиться                       to lik(vt)
цена                            price
ценник (на одежде)              price tag
стоить                          to cost(vt)
Сколько? (о цене)               How much?
скидка                          discount
недорогой                       inexpensive (adj)
дешёвый                         cheap (adj)
дорогой                         expensive (adj)
Это дорого                      It's expensive
прокат                          rental
взять напрокат                  to rent(vt)
кредит                          credit
в кредит                        on credit
