90. Загородный дом. Дом в деревне
деревня                        village
огород                         vegetable garden
забор                          fence
изгородь                       paling
калитка                        wicket gate
амбар                          granary
погреб                         cellar
сарай                          shed
колодец                        well
печь (предмет)                 stove
топить печь                    to heat the stove
дрова                          firewood
полено                         log
веранда                        veranda
терраса                        terrace
крыльцо                        front steps
качели                         swing
