91. Особняк. Вилла
загородный дом                 country house
вилла                          villa
крыло (здания)                 wing
сад                            garden
парк                           park
оранжерея                      tropical greenhouse
ухаживать (за садом)           to look after
бассейн                        swimming pool
тренажёрный зал                gym
теннисный корт                 tennis court
кинотеатр                      home theater room
гараж                          garage
частная собственность          private property
частные владения               private land
предупреждение                 warning
предупреждающая надпись        warning sign
охрана                         security
охранник                       security guard
сигнализация                   burglar alarm
