92. Замок. Дворец
зáмок                          castle
дворец                         palace
крепость                       fortress
стена (крепостная)             wall
башня                          tower
главная башня                  main tower, donjon
подъёмная решётка              portcullis
подземный ход                  underground passage
ров                            moat
цепь                           chain
бойница                        arrow
великолепный                   magnificent (adj)
величественный                 majestic (adj)
неприступный                   impregnable (adj)
рыцарский                      knightly(adj)
средневековый                  medieval (adj)
