94. Квартира. Уборка
убирать (~ квартиру)           to clean(vi, vt)
пыль                           dust
пыльный                        dusty (adj)
вытирать пыль                  to dust(vt)
пылесос                        vacuum cleaner
пылесосить                     to vacuum  (vt)
подметать                      to sweep (vi, vt)
мусор (сор)                    sweepings
порядок (в комнате)            order
беспорядок                     disorder
швабра                         mop
тряпка                         dust cloth
веник                          broom
совок для мусора               dustpan
