99. Бытовая техника
телевизор                     TV set
магнитофон                    tape recorder
видеомагнитофон               video, VCR
приёмник                      radio
плеер                         player
видеопроектор                 video projector
домашний кинотеатр            home movie theater
проигрыватель DVD             DVD player
усилитель                     amplifier
игровая приставка             video game console
видеокамера                   video camera
фотоаппарат                   camera
цифровой фотоаппарат          digital camera
пылесос                       vacuum cleaner
утюг                          iron
гладильная доска              ironing board
телефон                       telephone
мобильный телефон             mobile phone
машинка (пишущая)             typewriter
машинка (швейная)               sewing machine
микрофон                        microphone
наушники                        headphones
пульт                           remote control
компакт-диск                    CD, compact disc
кассета                         cassette
пластинка  (муз.)               vinyl record
