фонта!н|喷泉
ме!бель|[阴]家具
ма!сло|黄油
костю!м|服装，衣服；一套衣服（指男西服上衣和裤子或女上装和裙子）
дру!жба|友谊
дру!жный|友好的，和睦的
по!мощь|[阴]帮助
помо!щник|助手
писа!тель|[阳]作家，作者
дружи!ть|[未]相好
со!лнечный|太阳的；有阳光的
некраси!вый|不好看的
дождли!вый|多雨的
бутербро!д|(夹火腿等的）面包片，面包夹肉
колбаса!|香肠，灌肠
моло!чный|生产乳品的；乳白色的
фрукто!вый|水果的
гро!мкий|大声的
дневни!к|日记
моне!та|硬币，钱币
ико!на|圣像
архите!ктор|建筑师
архитекту!ра|建筑
моделье!р|时装设计师
организова!ть|[未,完]组织，建立
путеше!ствовать|[未]旅行，旅游
корреспонде!нт|新闻记者，通讯记者
секре!т|秘密
изуча!ть|[未]研究
рок-гру!ппа|摇滚乐队
да!же|[语]连……也，甚至……也
молодёжь|[阴，集]青年（们）
диск|唱盘，磁盘
ну!жный|需要的，必要的
по-мо!ему|依我看
после!дний|最后的，最新的
Пе!тр I|彼得一世
Ялта|雅尔塔
Не!вский проспе!кт|涅瓦大街
Исааки!евский собо!р|伊萨科夫教堂
Ита!лия|意大利
Владивосто!к|符拉迪沃斯托克（海参崴）
