статья!|文章
друзья!|[复]朋友们
ви!за| 签证
ко!фе|[不变，阳]咖啡
фе!рмнр|农场主
обе!д| 午饭
биле!т|票，劵，（身份、职务的）证件
весно!й|[副](在）春天
проспе!кт|大街
конве!рт|信封
ве!чером| [副](在）晚上
переры!в|（课间，工间）休息时间
де!ньги|[复]钱
хи!мик|化学工作者
кино!|[不变，中]电影，影院
кио!ск|书报亭
био!лог|生物工作者
кинотеа!тр|电影院
родно!й|亲的，亲近的，家乡的
цирк|马戏，杂技
центр|中心
ци!фра|数字
оте!ц|父亲
цена!|价格
у!лица|街道
столи!ца|首都
табли!ца|表，表格
гости!ница|宾馆，饭店
оди!н|[数]一，一个
три|[数]三
това!рищ|同志
ночь|[阴]夜
челове!к|人
лю!ди|[复](челове!к的复数）人们
ребёнок|孩子
де!ти|[复]儿童们.小孩子们
глаз|(复数глаза!)眼睛
фа!брика|工厂
вы!ставка|展览，展览会
трамва!й|有轨电车
дива!н|长沙发
телеви!зор|电视机，电视
кре!сло|安乐椅，单人沙发
карти!на|色彩画
чей|(чия，чье，чьи)[代]谁的
муж|丈夫
Дава!йте познако!мимся.|让我们认识一下
прия!тно|[副]愉快
спортсме!н|运动员
спортсме!нка|女运动员
журнали!ст|新闻记者
журнали!стка|女新闻记者
шко!льник|中小学学生（男）
шко!льница|中小学学生（女）
домохозя!йка|家庭主妇
экономи!ст|经济学家
юри!ст|法律学家，律师
бизнесме!н|商人
роди!тели|[复）父母亲
программи!ст|程序设计员
знать|[未]知道
никто!|[代](谁）也不，没有人
позови!те|[命]请叫……
приве!т|你好
пока!|[副]回头见，暂时
норма!льно|[副]正常地；（口）挺好地
сигаре!та|香烟
Илья|伊里亚（男）
Да!рья|达里娅（女）
Игорь|伊戈尔（男）
Са!ша|萨莎
Джон|约翰
Кла!ра|克拉拉（女）
Том|汤姆（男）
Ольга|奥尔加（女）
Мари!я|玛丽亚（女）
Мари!на|玛丽娜（女）
Оле!г Ме!ньшиков|奥列格．梅尼什科夫（演员）
Алсу!|阿尔苏（歌手）
Анна Ку!рникова|阿娜.库尔尼科娃（网球运动员）
Никола!й Ба!сков|尼古拉.巴斯科夫（歌手）
Кита!й|中国
Пеки!н|北京
Росси!я|俄罗斯
Санкт-Петербу!рг|圣彼得堡
Арба!т|阿尔巴特街
Третьяко!вская галере!я|特列季亚科夫美术馆
