нра!виться|(нра!вится,нра!вятся)[未]（讨……）喜欢，合意，中意
пять|[数]五
пятна!дцать|[数]第十五
четы!ре|[数]四
шесть|[数]六
семь|[数]七
во!семь|[数]八
де!вять|[数]九
де!сять|[数]十
оди!ннадцать|[数]十一
двена!дцать|[数]十二
трина!дцать|[数]十三
четы!рнадцать|[数]十四
шестна!дцать|[数]十六
семна!дцать|[数]十七
восемна!дцать|[数]十八
девятна!дцать|[数]十九
два!дцать|[数]二十
три!дцать|[数]三十
со!рок|[数]四十
пятьдеся!т|[数] 五十
шестьдеся!т|[数] 六十
се!мьдесят|[数] 七十
во!семьдесят|[数] 八十
девяно!сто|[数]九十
две!сти|[数] 二百
три!ста|[数] 三百
како!й,-а!я,-о!е,_и!е|[代] 什么样的，哪一个
ста!рый|老的，旧的
ру!сский|俄罗斯的
но!вый|新的
вели!кий|伟大的
кита!йский|中国的；中国人的
ма!ленький|小的
си!ний|蓝色的
хоро!ший|好的
большо!й|大的
интере!сный|有意思的，有趣的
рома!н|长篇小说
плохо!й|不好的
молодо!й|年轻的
краси!вый|漂亮的
дорого!й|亲爱的，贵的
дешёвый|便宜的
оде!жда|衣服，服装
ста!нция|(火车，地铁）站
ско!лько|[代及副] 多少
сто!ит(сто!ят)|[未](它的）价值是，值
рубль|[阳] 卢布（俄币）
э!тот(э!та,э!то,э!ти)|[代]这，这个
са!мый|最
тёплый|暖和的，温暖的
спорт|运动
сувени!р|纪念品
популя!рный|普及的，受欢迎的
изве!стный|著名的
мне|(я的第三格形式）
тебе！|(ты的第三格形式）
вам|(вы的第三格形式）
шокола!дный|巧克力的
война!|战争
мир|和平
мо!да|时髦
Стихи!|[复] 诗歌
ку!ртка|(男式）上衣，皮夹克
джи!нсы|[复]牛仔裤
перча!тки|[复]手套
брю!ки|[复]裤子
боти!нки|[复]（皮）鞋
хлеб|面包
бе!лый|白色的
кра!сный|红色的
ру!сско-кита!йский|俄汉的
москви!ч|莫斯科人
изве!стие|通知，消息
ма!рка|邮票
Календа!рь|[阳]日历
кита!йско-ру!сский|汉俄的
пи!шем|(我们）写
пра!вильно|[副]正确的
меню!|[不变，中]菜单
мы!со|肉，肉类
пти!ца|鸟，禽
карто!шка|土豆
со!лнце|太阳，太阳光
ду!мать|[未]想，思考，认为
Почему!|[副]为什么
потому! что|[连]因为
стенгазе!та|墙报
верниса!ж|画展预展，画展开幕日
портре!т|肖像
пейза!ж|风景画
широ!кий|宽阔
совреме!нный|现代的，当代的
пе!рвый|第一
любо!вь|[阴]爱,爱情
ро!дина|祖国，家乡
тури!ст|旅行者
ладо!нь|[阴]手掌
Как на ладо!ни|一清二楚，了如指掌，一览无余
Дава!й пойдём |我们走吧
повтори!|[命]请重复一遍，请再说一遍
До за!втра|明天见
Че!хов|契诃夫（俄作家）
Лю Кун|刘空
Смоле!нск|斯摩棱斯克市
Ки!евский вокза!л|基辅车站
Истори!ческий музе!й|历史博物馆
Алекса!ндровский сад|亚历山大花园
Вели!кая кита!йская стена!|万里长城
Тверска!я у!лица|特维尔大街
Вене!ция|威尼斯
