америка!нский|美国的
фотоаппара!т|照相机
чита!ть[未]/прочита!ть[完]|读，阅读
де!лать|[未]做
рабо!тать|[未]工作
отдыха!ть|[未]休息
гуля!ть|[未]散步
игра!ть|[未]玩耍，游戏，体育比赛
обе!дать|[未]吃午饭
сберба!нк|储蓄银行
ко!смос|宇宙
давно!|[副]很早以前，早就
но!чью|[副]（在）夜里
иногда!|[副]有时，有时候
университе!тский|大学的
писа!ть|[未]写
понима!ть|[未]懂，明白
по-ру!сски|[副]用俄语
по-кита!йски|[副]用汉语
по-англи!йски|[副]用英语
по-францу!зски|[副]用法语
зна!чит|意味着，就是说
немно!го|[副]稍许，不多
непло!хо|[副]不错，不坏
иностра!нка|外国女人
иностра!нец|外国人
продаве!ц|售货员
фотогра!фия|照片
футбо!л|足球
те!ннис|网球
пинг-понг|乒乓球
ша!хматы|[复]象棋
баскетбо!л|篮球
дома!шний|家庭的
зада!ние|作业
хокке!й|冰球
цветы!|[复]花
о!сень|[阴]秋天
лист|（复数为ли!стья）叶子
зелёный|绿色的
жёлтый|黄色的
симпати!чный|讨人喜欢的，可爱的
звони!т|（他，她）给......打电话
идёт|（他，她）走
лю!бит|（他，她）喜欢
кры!ша|房顶，屋顶
в|[前]（六格）在......里；（四格）去......里，到......中
пря!мо|[副]直，直接
ря!дом|[副]在旁边
нигде!|[副]什么地方都（没有，不）
фи!рма|公司，商行
за!втракать|[未]吃早饭
у!жинать|吃晚饭
арти!ст|演员
слу!жащий|职员
жить|[未]居住，生活
дере!вня|农村
кварти!ра|住宅，单元格
кафе!|[不变，中]咖啡馆
чёрный|黑色的
Макдо!налдс|麦当来快餐店
да!льше|稍远些
ГУМ|国立百货商店
находи!ться(нахо!дится，нахо!дятся)|[未]位于
прибалти!йский|波罗的海沿岸的
встре!ча|相遇，会面
обы!чно|[副]通常，平时
Ната!ша|娜塔莎（女）
Никола!й|尼古拉（男）
Ма Лин|马凌
Гага!рин|加加林
Пу!шкин|普希金
Англия|英国
Аме!рика|美国
Фра!нция|法国
Су!здаль|苏兹达利市
Сиби!рь|西伯利亚
Ирку!тск|伊尔库茨克市
Нью-Йорк|纽约
Ло!ндон|伦敦
Пари!ж|巴黎
Новосиби!рск|新西伯利亚市
Нева!|涅瓦河
Эрмита!ж|艾尔米塔什博物馆
