англи!йский|英国的；英国人的
францу!зский|法国的；法国人的
кита!ец|中国人
китая!нка|中国女人
англича!нин|英国人
англича!нка|英国女人
америка!нец|美国人
америка!нка|美国女人
францу!з|法国人
францу!женка|法国女人
тру!дный|难的，困难的
ка!ждый|每个
день|[阳]天，日
театра!льный|戏剧的，剧院的
говори!ть|[未]说，讲
кури!ть|[未]吸烟
звони!ть[未]/позвони!ть[完]|给……打电话；（钟，铃）响
по-ара!бски|[副]用阿拉伯语
учи!ться|[未]学习
любить|[未]喜欢，爱
повторя!ть|[未]重复，复习
текст|课文
приро!да|大自然，自然界
Коммерса!нт|商人，商业家
поэ!т|诗人
учи!ть|[未]读，背诵功课等；学习；教
грамма!тика|语法
глаго!л|动词
фи!зика|物理
факульте!т|系
литерату!ра|文学
исто!рия|历史
неда!вно|[副]不久前
иеро!глиф|象形文字
слу!шать|[未]听
смотре!ть|[未]观看，参观，望，看
магнитофо!н|录音机
му!зыка|音乐
о!пера|歌剧
ра!дио|[不变，中]收音机
но!вость|[阴]新闻，新鲜事
бале!т|芭蕾舞
програ!мма|纲要；节目（单）
мультфи!льм|动画片
кома!нда|队，运动队
кани!кулы|[复]（多指学校的）假期
друг дру!га|彼此，互相
ждать|[未]等，对待
свобо!дный|自由的，空闲的
вре!мя|[中]时间
джаз|爵士乐
детекти!в|侦探小说（影片）
наизу!сть|[副]背熟，记熟
осо!бенно|[副]尤其，特别
ча!сто|[副]经常
ре!дко|[副]少，稀疏地
гото!вить|[未]准备，做饭
бо!льше|更（多）；用在否定句前，再也（不）……，（不）最……
пельме!ни|[复]饺子
ка!ша|饭，稠粥
кока-ко!ла|可口可乐
пи!во|啤酒
о!вощи|[复]蔬菜
Тита!ник|电影《泰坦尼克号》
воскресе!нье|星期天
Спарта!к|斯巴达克队
бою!до|盘子，一道菜
хозя!йка|女主人
спекта!кль|[阳]（演出的）戏剧
сериа!л|(电影或电视）系列片，连续剧
дли!нный|长的
ску!чный|枯燥无味的，无聊的
Дина!мо|狄纳莫队
понеде!льник|星期一
вто!рник|星期二
среда!|星期三
четве!рг|星期四
пя!тница|星期五
суббо!та|星期六
Интерне!т|因特网
рису!нок|图画，插图
поэ!тому|[副]所以
спорти!вный|运动的
купи!ть|[完]买
поменя!ть|[完]交换，兑换
проду!кт|食品
за!нят,-та!,-ты|忙
контро!льный|检查的
контро!льная рабо!та|测验
чуть-чуть|[复]稍微，一点点
матема!тика|数学
Жан|让（男）
Джейн|简（女）
Ло!ра|罗拉（女）
Ве!ра|薇拉（女）
Та!ня|塔尼娅（女）
Дюма!|仲马（法国作家）
Лю Янь|刘延
Испа!ния|西班牙
