взять|[完]拿，取，买
поня!ть|[完]懂，明白
янва!рь|一月
февра!ль|二月
март|三月
апре!ль|四月
ию!нь|六月
ию!ль|七月
а!вгуст|八月
сентя!брь|九月
октя!брь|十月
ноя!брь|十一月
дека!брь|十二月
согла!сен(-сна,сны)|同意，答应
докуме!нт|证件，证明文件
не то!лько,но и|不仅，而且
проездно!й|（乘车、船等）行路用的
не!сколько|[数，副]几几个，一些
снача!ла|[副](首）先，起初
си!льный|有力的，强的
энциклопе!дия|百科全书
музыка!льный центр|音响组合
ли!шний|多余的，剩余的
самолёт|飞机
отли!чный|极好的，优秀的
мла!дший|年幼的；岁数较小的
с|[前]（二格）自，从，由
из|[前]（二格）自，由，从......里（往外）
отку!да|[前]（二格）从......地方来
прие!хать|[完]（乘车、马、船）来到
прийти!|[完]走到，来到
рабо!та|工作，工作地点
спу!тник|同路人，旅伴
отту!да|[副]从那里
лека!рство|药，药品
отсю!да|[副]从这里，从此地
танцева!ть[未]/потанцева!ть[完]|跳舞
посыла!ть[未]/посла!ть[完]|寄出，派出
бассе!йн|游泳池
переводи!ть[未]/перевести![完]|翻译
спортза!л|体育馆，健身房
русско-англи!йский|俄英的
пода!рок|礼品，礼物
вокза!л|火车站
самова!р|俄式茶炊
конфе!та|糖果
ры!нок|市场
медве!дь|[阳]熊
медве!дица|牝熊
медвежо!нок|小熊，幼熊
испуга!ться|[完]害怕
лес|森林
таре!лка|盘子
крова!ть|[阴]床
вокру!г|[副]周围，四周
побежа!ть|[完]跑起来，跑去
бежа!ть|[未]跑，奔跑
прибежа!ть|[完]跑到，跑来
зи!мний|冬天的，冬天用的
ле!тний|夏天的，夏季的
оптими!ст|乐观主义者
пессими!ст|悲观主义者
сати!ра|讽刺，讥讽
небольшо!й|不大的
удо!бный|舒适的；方便的
сосе!д|邻居；邻座的人
во-пе!рвых|第一，第一点，首先
во-вторы!х|第二，第二点，其次
борщ|红菜汤
холо!дный|冷的，寒冷的
снег|雪
лифт|电梯
неудо!бно|[副]不方便
холоди!льник|冰箱
гро!мко|[副]大声地，响亮地
рок-му!зыка|摇滚乐
о!чередь|[阴]次序，顺序
случи!ться|[完]发生，出现
температу!ра|温度；体温
боле!ть,боли!т,боля!т|[未]疼痛
голова!|头，脑袋
зени!т|天顶；顶点；顶峰
к сожале!нию|很抱歉，很遗憾
ра!зный|不一样的；各种各样的
послеза!втра|[副]后天
сдать|[完]考试（及格）；交付，移交
экза!мен|考试
слон|象
слюч|钥匙
Ко!стас|科斯塔斯（男）
Михаи!л|米哈伊尔（男）
Луи!с|路易斯（男）
Ма!рта|玛尔塔（女）
Андре!й|安德列（男）
Ма!ша|玛莎（Мари!я小名）
Кипр|塞浦路斯
Камча!тка|勘察加
Герма!ния|德国
Ва!шингион|华盛顿
Украи!на|乌克兰
Ки!ев|基辅
Ту!ла|图拉
Псков|普斯科夫
Калу!га|卡卢加
Тверь|特维尔市
