культу!ра|文化，文明
бланк|格式纸，表
ско!ро|[副]很快，迅速地
заказа!ть|[完]预定，定做，订购
но!мер|号；（宾馆）房间
поводи!ть|[完]伴送，陪行
с|[前]（五格）和，与；拿着，带着
знако!миться[未]/познако!миться[完]|认识，相识；了解，熟悉
стари!нный|古老的
ты!сяча|[数]千，一千
собо!р|教堂
монасты!рь|[阳]修道院，寺院
экскурсово!д|导游
разгова!ривать|[未]谈话，交谈
са!хар|糖
капу!ста|洋白菜，圆白菜
ку!рица|鸡
лимо!н|柠檬
шокола!д|巧克力
космона!вт|航天员，宇航员
перево!дчик|翻译
перево!дчица|女翻译
медсестра!|护士
ме!неджер|经理
фи!зик|物理学家；物理学工作者
исто!рик|历史学家；历史工作者
рисова!ть[未]/нарисова!ть[完]|素描，画（图画）
ва!жный|重要的，重大的
профе!ссия|职业
музыка!нт|音乐家
скри!пка|小提琴
ката!ться|[未]（乘车、马、船等）游玩，滚动
коньки!|[复]冰刀
ката!ться на конька!х|滑冰
пиани!но|[不变，中]钢琴
лы!жи|[复]滑雪板
ката!ться на лы!жах|滑雪
о(об)|[前]（六格）关于，有关
теоре!ма|定理
древнегре!ческий|古希腊的
фило!соф|哲学家
матема!тик|数学家；数学工作者
филосо!фия|哲学
век|世纪
з!ра|纪元
физио!лог|生物工作者
боле!ть|[未]生病
компози!тор|作曲家
князь|[阳]（罗斯时代的）公，王
нау!ка|科学
а!втор|作者
тра!нспорт|运输业，运输
сове!товать[未]/посове!товать[完]|建议，劝告，出主
интересова!ться|[未]感兴趣
балери!на|芭蕾女演员
научи!ться|[完]学习，学
поздравля!ть|[未]祝贺，道喜
договори!ться|[完]商谈；商定
у!меть|[未]会
На!стя|娜斯佳（女）
Тама!ра|塔玛拉（女）
Ли!дия|利季娅（女）
Ян Вей|杨伟
Ване!сса Мей|陈美
Пифаго!р|毕达哥拉斯
Альберт Эйнште!йн|阿尔伯特·爱因斯坦
Эрнест Резерфо!рд|欧内斯特·卢瑟福
Ива!н Петро!вич Па!влов|伊万·彼得洛维奇·巴甫洛夫
Алекса!ндр порфи!рьевич Бороди!н|亚历山大·波尔菲里耶维奇·鲍罗廷
Вачь Су|万素
Ломоно!сов|罗蒙诺索夫
Чайко!вский|柴可夫斯基
Менделе!ев|门捷列夫
Шереме!тьево|谢列梅捷沃机场
