мо!жет  быть|可能
по!здно| [副](很)晚，（很）迟
аэропо!рт|机场
чу!вствовать|[未] 感觉，觉得
доро!га|路，道路，路途
студе!нческий|大学生的
реда!кция|编辑部
олимпи!йский|奥运会的
олимпи!йские и!грцы|奥运会
cпра!шивать[未]/спроси!ть[完]|问
серьёзный|认真的，严肃的
у!мный|聪明的
телевизио!нный|电视的
телезри!тель|电视观众
игро!к|参加游戏（比赛）的人；选手
наприме!р|[插]比如
нача!ть|开始
отвеча!ть[未]/отве!тить[完]|回答
вопро!с|问题
телегра!мма|电报
прогно!з|预报
Дог-шо!у|狗秀
ста!ршии|年长的
тест|测验，测试
бы!стро|[副]快的，迅速的
лёгкий|轻的，容易的
мяч|球
весь|[代]全部，整个
войти!|[完]走进
встава!ть[未]/встать|[完]起来，起床
буди!льник|闹钟
внима!тельно|[副]注意地，专心地
заря!дка|体操
дежу!рный|值班者
помога!ть[未]/помо!чь|[完]帮助
дари!ть[未]/подари!ть|[完]送，赠送
расска!зывать[未]/рассказа!ть[完]|讲述，叙述
дава!ть[未]/дать|[完]给
обяза!тельно|[副]一定
сам (сама! са!ми)| [代]自己，本人，亲自
занима!ться спо!ртом| 从事体育运动
фанта!стика|幻想，科幻作品
бо!льше всего!|最
пра!здничный|节日的，快乐的，高兴的
на!до|[谓语副词]应当，需要
ну!жно|需要，要有；（与动词不定式连用）应该，应当
литерату!рный|文学的
президе!нт|总统，总裁
выступа!ть[未]/вы!ступить[完]|发言，演出，出厂参赛
ди!ктор|广播员，播音员
кни!жный|书的，书籍的
авто!граф|题词，签名
стихотворе!ние|（一首）诗
о!коло|[前]（二格）附近，旁边
е!сли|[连]如果
живо!тное|动物
пти!чий|鸟的，禽类的
плов|手抓饭
Евге!ний Евтуше!нко|叶甫盖尼 叶夫图申科（诗人）
Гре!ция|希腊
